,Unnamed: 0,isbn,book_title,book_author,year_of_publication,publisher,img_m,Summary,Language,Category
43312,43312,0140345809,House of Stairs,William Sleator,1991.0,Puffin Books,http://images.amazon.com/images/P/0140345809.01.MZZZZZZZ.jpg,"Five sixteen-year-old orphans of widely varying personality
characteristics are involuntarily placed in a house of endless stairs
as subjects for a psychological experiment on conditioned human
response.",en,Juvenile Fiction
43323,43323,0156528207,The Little Prince,Antoine de Saint-Exupry,1968.0,Harcourt,http://images.amazon.com/images/P/0156528207.01.MZZZZZZZ.jpg,"A pilot is forced down in the Sahara where he meets a strange little
prince from another planet",en,Juvenile Fiction
43402,43402,0380012863,Jonathan Livingston Seagull,Richard Bach,1976.0,Avon,http://images.amazon.com/images/P/0380012863.01.MZZZZZZZ.jpg,9,9,9
43520,43520,0451154916,The Crystal Handbook,Kevin Sullivan,1996.0,Signet Book,http://images.amazon.com/images/P/0451154916.01.MZZZZZZZ.jpg,9,9,9
43525,43525,0785815147,Simple Wicca (Simple Wisdom Book),Michele Morgan,2002.0,Castle Books,http://images.amazon.com/images/P/0785815147.01.MZZZZZZZ.jpg,This is the perfect primer for the curious beginner of Wicca.,en,"Body, Mind & Spirit"
43530,43530,0875421288,"The Complete Book of Incense, Oils & Brews (Llewellyn's Practical Magick)","Scott, Cunningham",1989.0,Llewellyn Publications,http://images.amazon.com/images/P/0875421288.01.MZZZZZZZ.jpg,"The book explains how to make your own incenses, oils, ointments,
inks, tinctures, herb baths, bath salts, brews, ritual soaps and
powders.",en,"Body, Mind & Spirit"
43544,43544,1567184294,"The Western Mysteries: An Encyclopedic Guide to the Sacred Languages & Magickal Systems of the World : The Key of It All, Book II (Key of It All)",David Allen Hulse,2000.0,Llewellyn Publications,http://images.amazon.com/images/P/1567184294.01.MZZZZZZZ.jpg,"This is a reference book you will study over and over. The volume of
information revealed makes The Western Mysteries an instant classic
and a necessity for any spiritual practitioner.",en,"Body, Mind & Spirit"
43548,43548,156718796X,Astral Travel for Beginners (For Beginners),Richard Webster,1998.0,Llewellyn Publications,http://images.amazon.com/images/P/156718796X.01.MZZZZZZZ.jpg,"The exercises in this book are carefully graded to take readers step-
by-step through an actual out-of-body experience.",en,"Body, Mind & Spirit"
43553,43553,1862047626,New Perspectives: Runes,Bernard King,2000.0,Harper Collins - UK,http://images.amazon.com/images/P/1862047626.01.MZZZZZZZ.jpg,"This book shows how to make your own set of runes, explains the
meaning of the individual runes, and shows how to use them for healing
and divination.",en,"Body, Mind & Spirit"
43556,43556,0020437501,Rosie'S Walk,Pat Hutchins,1971.0,Aladdin,http://images.amazon.com/images/P/0020437501.01.MZZZZZZZ.jpg,"Rosie&#39;s walk is quiet, uneventful and eventually leads her back to
the coop, blissfully unaware of the fox&#39;s travails as he tries --
unsuccessfully -- to navigate the obstacle course that Rosie has led
him through.",en,Juvenile Fiction
43561,43561,0198320264,Julius Caesar (Oxford School Shakespeare),William Shakespeare,2001.0,Oxford University Press,http://images.amazon.com/images/P/0198320264.01.MZZZZZZZ.jpg,9,9,9
43569,43569,0373196989,"Santa Brought A Son : Marrying The Boss's Daughter (Silhouette Romance, 1698)",Melissa McClone,2003.0,Silhouette,http://images.amazon.com/images/P/0373196989.01.MZZZZZZZ.jpg,"Santa Brought A Son by Melissa McClone released on Nov 24, 2003 is
available now for purchase.",en,Fiction
43572,43572,0373245580,"Marry Me ... Again   Montana Mavericks (Silhouette Special Edition, 1558)",Cheryl St. John,2003.0,Silhouette,http://images.amazon.com/images/P/0373245580.01.MZZZZZZZ.jpg,9,9,9
43577,43577,0451527747,Alice's Adventures in Wonderland and Through the Looking Glass,Lewis Carroll,2000.0,Signet Classics,http://images.amazon.com/images/P/0451527747.01.MZZZZZZZ.jpg,"A story about young Alice, who follows a white rabbit down a rabbit
hole.",en,Fiction
43607,43607,0671867113,Moonlight Becomes You,Mary Higgins Clark,1997.0,Pocket,http://images.amazon.com/images/P/0671867113.01.MZZZZZZZ.jpg,"From Queen of Suspense Mary Higgins Clark, a thriller that grabs you
with the first paragraph and never lets go (USA TODAY) about a woman
desperate to uncover the truth behind her beloved stepmothers death.",en,Fiction
43745,43745,0812504208,The Adventures of Tom Sawyer,Mark Twain,1989.0,Tor Books,http://images.amazon.com/images/P/0812504208.01.MZZZZZZZ.jpg,"This edition of Mark Twain&#39;s The Adventures of Tom Sawyer includes
a Biographical Note, Preface, and Afterword by Keith Neilson.",en,Fiction
43755,43755,1590071212,Jane Eyre,Charlotte Bronte,2002.0,New Millenium Audio,http://images.amazon.com/images/P/1590071212.01.MZZZZZZZ.jpg,9,9,9
43756,43756,0060173289,Divine Secrets of the Ya-Ya Sisterhood : A Novel,Rebecca Wells,1996.0,HarperCollins,http://images.amazon.com/images/P/0060173289.01.MZZZZZZZ.jpg,9,9,9
43886,43886,0060973897,Lakota Woman,Dog Mary Crow,1991.0,Perennial,http://images.amazon.com/images/P/0060973897.01.MZZZZZZZ.jpg,"Relates the experiences of a Native American woman who grew up on a
reservation and joined in the revolution for Native American rights
during the 1960s and 1970s.",en,Social Science
43918,43918,006101351X,The Perfect Storm : A True Story of Men Against the Sea,Sebastian Junger,1998.0,HarperTorch,http://images.amazon.com/images/P/006101351X.01.MZZZZZZZ.jpg,"October 1991. It was &quot;the perfect storm&quot;--a tempest that may
happen only once in a century--a nor&#39;easter created by so rare a
combination of factors that it could not possibly have been worse.",en,Nature
44282,44282,0140104682,"Heroes of Their Own Lives: The Politics and History of Family Violence, Boston 1880-1960",Linda Gordon,1989.0,Penguin USA,http://images.amazon.com/images/P/0140104682.01.MZZZZZZZ.jpg,9,9,9
44284,44284,0312143370,The Florence King Reader,Florence King,1996.0,St. Martin's Press,http://images.amazon.com/images/P/0312143370.01.MZZZZZZZ.jpg,GIFT LOCAL 11-15-2002 $13.95.,en,Fiction
44289,44289,039456894X,Impossible Vacation,Spalding Gray,1992.0,Random House Inc,http://images.amazon.com/images/P/039456894X.01.MZZZZZZZ.jpg,"Racked with guilt over his mother&#39;s suicide, Brewster North
wanders aimlessly, from New York&#39;s East Village to the Bhagwan
Rahneesh&#39;s sex commune in India, to Provincetown, to Santa Cruz.",en,Self-perception
44295,44295,0440224675,Hannibal,Thomas Harris,2000.0,Dell Publishing Company,http://images.amazon.com/images/P/0440224675.01.MZZZZZZZ.jpg,"Reissue. THE MOVIE EVENT OF THE YEAR. THE MOST TALKED ABOUT NOVEL OF
THE DECADE. You remember Hannibal Lecter: gentleman, genius, cannibal.",en,Fiction
44579,44579,0449002632,London : The Novel,EDWARD RUTHERFURD,1998.0,Fawcett,http://images.amazon.com/images/P/0449002632.01.MZZZZZZZ.jpg,"The triumphs and failures of seven individual family clans span the
history of a city from the third-century Roman occupation of Londinium
through such eras as the Norman conquest and the Elizabethan period",en,Fiction
44669,44669,0449213773,Life Before Man,Margaret Atwood,1990.0,Fawcett Books,http://images.amazon.com/images/P/0449213773.01.MZZZZZZZ.jpg,"An exploration of contemporary concerns--love, exploitation, survival,
sex roles, personal power--centers on the inner lives and
relationships of an attractive, independent woman, her ineffectual
husband, and his passive, easily manipulated ...",en,Fiction
44693,44693,0452279690,Cavedweller,Dorothy Allison,1999.0,Plume Books,http://images.amazon.com/images/P/0452279690.01.MZZZZZZZ.jpg,"Four women whose lives converge unexpectedly are forced to come to
terms not only with their past, but also their future",en,Fiction
44716,44716,0553569058,The Robber Bride,Margaret Atwood,1995.0,Bantam,http://images.amazon.com/images/P/0553569058.01.MZZZZZZZ.jpg,"Remembering their painful experiences of the past in which they were
each manipulated and betrayed by the same woman, Roz, Charis, and Tony
are relieved at Zenia&#39;s funeral, and are shocked when Zenia turns
up alive and well.",en,Fiction
44815,44815,0679427430,Wouldn't Take Nothing for My Journey Now,MAYA ANGELOU,1993.0,Random House,http://images.amazon.com/images/P/0679427430.01.MZZZZZZZ.jpg,"Wisdom from a remarkable woman of many talents--a writer who captured
America&#39;s heart on Inauguration Day.",en,Literary Collections
44833,44833,0679725393,The House of Mirth (Library of America),Edith Wharton,1990.0,Vintage Books USA,http://images.amazon.com/images/P/0679725393.01.MZZZZZZZ.jpg,9,9,9
44834,44834,0802114369,Ohitika Woman,Mary Brave Bird,1993.0,Pub Group West,http://images.amazon.com/images/P/0802114369.01.MZZZZZZZ.jpg,"Confronting the contrasts, agonies, and triumphs of her life, a Sioux
activist relates her story, detailing the powerful history of her
people as it mixes with her own troubled life",en,Biography & Autobiography
44839,44839,0803233019,Black Elk Speaks: Being the Life Story of a Holy Man of the Oglala Sioux,John G. Neihardt,1988.0,University of Nebraska Press,http://images.amazon.com/images/P/0803233019.01.MZZZZZZZ.jpg,"A Sioux holy man recalls his life and visions up to the time of the
slaughter at Wounded Knee The most important aspect of this book is
upon the contemporary generation of young Indians who have been
aggressively searching for roots of ...",en,Biography & Autobiography
44841,44841,0819154946,The Community in America,Roland Warren,1987.0,University Press of America,http://images.amazon.com/images/P/0819154946.01.MZZZZZZZ.jpg,"To find more information about Rowman and Littlefield titles, please
visit www.rowmanlittlefield.com.",en,Social Science
44842,44842,0897322339,"The Best in Tent Camping: Smoky Mountains : A Guide for Campers Who Hate Rvs, Concrete Slabs, and Loud Portable Stereos (Best in Tent Camping Colorado)",Johnny Molloy,1997.0,Globe Pequot Pr,http://images.amazon.com/images/P/0897322339.01.MZZZZZZZ.jpg,9,9,9
44843,44843,0940322978,Mawrdew Czgowchwz (New York Review Books Classics),James McCourt,2002.0,New York Review of Books,http://images.amazon.com/images/P/0940322978.01.MZZZZZZZ.jpg,9,9,9
44844,44844,1573225126,Prozac Nation: Young and Depressed in America : A Memoir,Elizabeth Wurtzel,1997.0,Riverhead Books,http://images.amazon.com/images/P/1573225126.01.MZZZZZZZ.jpg,"A memoir of sex, drugs, and depression indicts an overmedicated
America as it chronicles the fortunes of a Harvard educated child of
divorce who lived in the fast lane as a music critic, always fighting
her chronic depression",en,Biography & Autobiography
44888,44888,1579651658,The Journey From Here,Bill Bradley,2000.0,Artisan Publishers,http://images.amazon.com/images/P/1579651658.01.MZZZZZZZ.jpg,"The Journey from Here is a call to each of us to be our best, from a
public servant at his best: informed, thoughtful, candid, unwavering
in his quest to &quot;build consensus and advance our collective
humanity a few inches.&quot;",en,Biography & Autobiography
44890,44890,1878424319,The Four Agreements: A Practical Guide to Personal Freedom,Don Miguel Ruiz,1997.0,Amber-Allen Publishing,http://images.amazon.com/images/P/1878424319.01.MZZZZZZZ.jpg,"Identifies four self-limiting beliefs that impede one&#39;s experience
of freedom, true happiness, and love.",en,Self-Help
45023,45023,8401351421,El desarrollo de Leonardo da Vinci (Biografas y memorias),Luis Racionero,1986.0,Plaza & Jans,http://images.amazon.com/images/P/8401351421.01.MZZZZZZZ.jpg,9,9,9
45024,45024,8420979716,Evangeli gris (Biblioteca A tot vent),Vicen Villatoro,1982.0,Edicions Proa,http://images.amazon.com/images/P/8420979716.01.MZZZZZZZ.jpg,9,9,9
45025,45025,8423324311,Gastronomia divina (L'ncora),Eugeni Perea Simn,1994.0,Destino,http://images.amazon.com/images/P/8423324311.01.MZZZZZZZ.jpg,9,9,9
45026,45026,8427007450,Desaparecido: LA Autentica Historia De LA Ejecucion De Charles Horman,Thomas Hauser,1982.0,Lectorum Pubns (J),http://images.amazon.com/images/P/8427007450.01.MZZZZZZZ.jpg,9,9,9
45029,45029,8429725792,Les illes grogues: Tres novelles romntiques (El Balanc),Vicen Villatoro,1987.0,Edicions 62,http://images.amazon.com/images/P/8429725792.01.MZZZZZZZ.jpg,9,9,9
45030,45030,8429728937,Trptics (El Balanc),Maria-Antnia Oliver,1989.0,Edicions 62,http://images.amazon.com/images/P/8429728937.01.MZZZZZZZ.jpg,9,9,9
45031,45031,8429729119,A la vora del pou (El Balanc),J. M Sala-Valldaura,1989.0,Edicions 62,http://images.amazon.com/images/P/8429729119.01.MZZZZZZZ.jpg,9,9,9
45032,45032,8429734996,Hotel Europa (El Balanc),Vicen Villatoro,1992.0,Edicions 62,http://images.amazon.com/images/P/8429734996.01.MZZZZZZZ.jpg,9,9,9
45033,45033,8429736131,La dona dels ulls de pluja: Barcelona anys 90 (El Balanc),Vctor Mora,1993.0,Edicions 62,http://images.amazon.com/images/P/8429736131.01.MZZZZZZZ.jpg,9,9,9
45034,45034,8440616252,El paraso (Tiempos modernos),Elena Castedo,1991.0,"Editiones B, Grupo Zeta",http://images.amazon.com/images/P/8440616252.01.MZZZZZZZ.jpg,9,9,9
45035,45035,8472224260,Negra i consentida (Collecci El Mirall),Oflia Dracs,1983.0,Laia,http://images.amazon.com/images/P/8472224260.01.MZZZZZZZ.jpg,9,9,9
45036,45036,8472227421,Essa efa (Collecci El Mirall i el temps),Oflia Dracs,1985.0,Editorial Laia,http://images.amazon.com/images/P/8472227421.01.MZZZZZZZ.jpg,9,9,9
45037,45037,8474102944,El parany sus (La Negra),Mag Rosell,1987.0,Edicions de la Magrana,http://images.amazon.com/images/P/8474102944.01.MZZZZZZZ.jpg,9,9,9
45038,45038,8474103347,Espurnes de sang (La Negra),Antoni Serra,1987.0,Edicions de la Magrana,http://images.amazon.com/images/P/8474103347.01.MZZZZZZZ.jpg,9,9,9
45040,45040,8475960650,Els conys saborosos (Tros de paper),Valeri Pujol,1986.0,Empries,http://images.amazon.com/images/P/8475960650.01.MZZZZZZZ.jpg,9,9,9
45041,45041,8475960936,Les llenges d'Africa (Biblioteca universal Empries),M. Carme Junyent,1986.0,Editorial Empries,http://images.amazon.com/images/P/8475960936.01.MZZZZZZZ.jpg,9,9,9
45042,45042,8476021844,El preu de la quimera (Narratives),Jordi Font i Agust,1992.0,Eumo Editorial,http://images.amazon.com/images/P/8476021844.01.MZZZZZZZ.jpg,9,9,9
45044,45044,8477270120,Tap d'escopeta (Mnima de butxaca),Carles Casajuana,1987.0,Edicions dels Quaderns Crema,http://images.amazon.com/images/P/8477270120.01.MZZZZZZZ.jpg,9,9,9
45045,45045,8477830029,Trnsit (Area contempornia),Jaume Cap,1987.0,Area,http://images.amazon.com/images/P/8477830029.01.MZZZZZZZ.jpg,9,9,9
45046,45046,8478091246,L'home del sac,Mrius Serra,1990.0,Columna,http://images.amazon.com/images/P/8478091246.01.MZZZZZZZ.jpg,9,9,9
45047,45047,8478092943,Els plaers ficticis,Llus Ma Tod,1991.0,Columna,http://images.amazon.com/images/P/8478092943.01.MZZZZZZZ.jpg,9,9,9
45048,45048,8478097732,Grcies per la propina (Columna),Ferran Torrent,1995.0,Columna,http://images.amazon.com/images/P/8478097732.01.MZZZZZZZ.jpg,9,9,9
45050,45050,8478098267,El dia que es va cremar el Liceu (La primera Columna),Joan Agut,1995.0,Columna,http://images.amazon.com/images/P/8478098267.01.MZZZZZZZ.jpg,9,9,9
45051,45051,8478800336,Cmo ser una mujer y no morir en el intento (Coleccin El Papagayo),Carmen Rico-Godoy,1990.0,Ediciones Temas de Hoy,http://images.amazon.com/images/P/8478800336.01.MZZZZZZZ.jpg,"Si eres mujer, esposa, madre o hija, no dejes de leer este libro
divertido y mordaz que cuenta la historia de Carmen, una mujer
independiente que lucha por ser ella misma a pesar de las innumerables
trampas que le tiende su propia ...",es,Women
45059,45059,8478884963,Una casa en Irlanda,Maeve Binchy,1999.0,Salamandra,http://images.amazon.com/images/P/8478884963.01.MZZZZZZZ.jpg,9,9,9
45060,45060,8483002523,La mirada del tafur (Collecci clssica),Ferran Torrent,1997.0,Columna,http://images.amazon.com/images/P/8483002523.01.MZZZZZZZ.jpg,9,9,9
45063,45063,848300402X,L'adoraci perptua (Collecci clssica),Llus Ma Tod,1997.0,Columna,http://images.amazon.com/images/P/848300402X.01.MZZZZZZZ.jpg,9,9,9
45064,45064,8486433193,Amorrada al pil (Columna),Maria Jan,1986.0,Columna,http://images.amazon.com/images/P/8486433193.01.MZZZZZZZ.jpg,9,9,9
45066,45066,8486433770,Fora de joc,Rafael Vallbona,1987.0,Columna,http://images.amazon.com/images/P/8486433770.01.MZZZZZZZ.jpg,9,9,9
45067,45067,0600586898,Blur (Melody Maker),Paul Lester,1995.0,Hal Leonard Corp,http://images.amazon.com/images/P/0600586898.01.MZZZZZZZ.jpg,9,9,9
45068,45068,1853260622,War and Peace (Wordsworth Classics),Leo Tolstoy,1997.0,NTC/Contemporary Publishing Company,http://images.amazon.com/images/P/1853260622.01.MZZZZZZZ.jpg,"This epic novel is centred on Napoleon&#39;s war with Russia. It
expresses Tolstoy&#39;s view that history is an inexorable process
which man cannot influence.",en,Fiction
45101,45101,1857938011,A-Z of Behaving Badly,Simon Nye,1996.0,Trafalgar Square,http://images.amazon.com/images/P/1857938011.01.MZZZZZZZ.jpg,9,9,9
45102,45102,0060804157,He Understanding Masculine Psychology,Robert A Johnson,1977.0,Harpercollins Publisher,http://images.amazon.com/images/P/0060804157.01.MZZZZZZZ.jpg,"And what of the feminine components of a man&#39;s personality? Robert
A. Johnson explores these questions in this new edition of He, updated
to reflect his thinking on these subjects. Book jacket.",en,Arthurian romances
45105,45105,8466601090,Las DOS Muertes De Gardel (Ficcionario),Horacio Vazquez-Rial,2002.0,Ediciones B,http://images.amazon.com/images/P/8466601090.01.MZZZZZZZ.jpg,"Su autentico padre, para empezar, era un coronel uruguayo que en el
fondo de su origen se ocultabauna historia espeluznante de violacion,
estupro e incesto.Gardel, o mejor dicho, el Gardel que creemos
conocer, no es mas que una invencion: ...",es,Fiction
45106,45106,0140382658,You Can Surf the Net: Your Guide to the World of the Internet,Marc Gascoigne,1996.0,Puffin Books,http://images.amazon.com/images/P/0140382658.01.MZZZZZZZ.jpg,9,9,9
45109,45109,0152012966,I Want to Be...a Veterinarian (I Want to Be... Series),Stephanie Maze,1997.0,Harcourt,http://images.amazon.com/images/P/0152012966.01.MZZZZZZZ.jpg,"Provides an overview of what is involved in veterinary medicine and
related fields.",en,Juvenile Fiction
45110,45110,0312283784,Alice's Tulips,Sandra Dallas,2001.0,St. Martin's Griffin,http://images.amazon.com/images/P/0312283784.01.MZZZZZZZ.jpg,"An evocation of the day-to-day life of women in the Civil War era
follows Alice, whose husband has left their Iowa farm for the war, as
she copes with the farm life and lives normally, until suddenly being
accused of murder. Reprint.",en,Fiction
45124,45124,0345297709,Centaur Aisle,Piers Anthony,1982.0,Ballantine Books,http://images.amazon.com/images/P/0345297709.01.MZZZZZZZ.jpg,9,9,9
45149,45149,0345313097,Crewel Lye,Piers Anthony,1985.0,Ballantine Books,http://images.amazon.com/images/P/0345313097.01.MZZZZZZZ.jpg,"Jordan had a talent for recovering from almost any injury if enough of
his body could be assembled to grow together, but this time he was
dead and his bones were scattered.",en,Fantasy fiction
45173,45173,0345335465,Dragonflight (Dragonriders of Pern Trilogy (Paperback)),Anne McCaffrey,1991.0,Del Rey Books,http://images.amazon.com/images/P/0345335465.01.MZZZZZZZ.jpg,"At a time when the number of Dragonriders has fallen too low for
safety and only one Weyr trains the creatures and their riders, the
Red Star approaches Pern, threatening the planet with disaster.",en,Fiction
45235,45235,0345416848,Last Sword of Power (Stones of Power),David Gemmell,1997.0,Del Rey Books,http://images.amazon.com/images/P/0345416848.01.MZZZZZZZ.jpg,9,9,9
45236,45236,0385333404,Dating Big Bird,Laura Zigman,2000.0,Dial Books,http://images.amazon.com/images/P/0385333404.01.MZZZZZZZ.jpg,"Thirty-five-year-old careerwoman Ellen Green wants a child, but her
boyfriend Malcolm doesn&#39;t, so she is forced to consider the option
of single motherhood, in a new novel by the best-selling author of
Animal Husbandry.",en,Fiction
45262,45262,044021145X,The Firm,John Grisham,1992.0,Bantam Dell Publishing Group,http://images.amazon.com/images/P/044021145X.01.MZZZZZZZ.jpg,9,9,9
45791,45791,0449212084,Murder at the Kennedy Center (Capital Crime Mysteries),Margaret Truman,1990.0,Fawcett Books,http://images.amazon.com/images/P/0449212084.01.MZZZZZZZ.jpg,9,9,9
45837,45837,0553582682,"Guinness World Records 2000 (Guinness Book of Records, 2000)",Nic Kynaston,2000.0,Bantam Books,http://images.amazon.com/images/P/0553582682.01.MZZZZZZZ.jpg,9,9,9
45849,45849,0590947257,Forever Amber Brown (Amber Brown (Paperback)),Paula Danziger,1997.0,Jump at the Sun,http://images.amazon.com/images/P/0590947257.01.MZZZZZZZ.jpg,"Amber&#39;s life has changed dramatically--her parents are divorced,
her father lives in France, her best friend has moved to another
state, and now her mother must decide whether to remarry.",en,Juvenile Fiction
45858,45858,074345829X,Philip Jose Farmer's The Dungeon,Richard A. Lupoff,2003.0,I Books,http://images.amazon.com/images/P/074345829X.01.MZZZZZZZ.jpg,"Finding himself on a vast prison planet on which his twin brother is
trapped, Clive Foliott encounters an array of adversarial dwarves,
cyborgs, and aliens from different parts of time and space. Original.",en,Fiction
45859,45859,0786913878,Pool of Radiance: The Ruins of Myth Drannor (Forgotten Realms),Carrie Bebris,2001.0,Wizards of the Coast,http://images.amazon.com/images/P/0786913878.01.MZZZZZZZ.jpg,A malevolent pool.,en,Fiction
45862,45862,0801491827,"Feminism and Suffrage: The Emergence of an Independent Women's Movement in America, 1848-1869",Ellen Carol Dubois,1980.0,Cornell University Press,http://images.amazon.com/images/P/0801491827.01.MZZZZZZZ.jpg,9,9,9
45864,45864,0816729913,Why Are Boys So Weird (Tales from Third Grade),Candice F. Ransom,1993.0,Troll Communications Llc,http://images.amazon.com/images/P/0816729913.01.MZZZZZZZ.jpg,"Third-grader Amber Cantrell discovers that boys and girls don&#39;t
always think alike, when a classmate asks both Amber and her friend
Delight to marry him and when her father starts dating a younger
woman.",en,Families
45866,45866,0843136685,Sheldon & Mrs. Levine: An Excruciating Correspondence,Sam Bobrick,1994.0,Price Stern Sloan,http://images.amazon.com/images/P/0843136685.01.MZZZZZZZ.jpg,"In a parody of the best-selling Griffin &amp; Sabine, an angst-ridden
young man and his eccentric, meddlesome mother trade blows over his
latest infatuation in a series of hilarious letters. 75,000 first
printing.",en,Humor
45878,45878,0866119531,Black Beauty (Great Illustrated Classics (Playmore)),Anna Sewell,2000.0,Playmore Inc. Publishers,http://images.amazon.com/images/P/0866119531.01.MZZZZZZZ.jpg,"Black Beauty learns both sides of life in this classic tale by Anna
Sewell. Told from a horse&#39;s point of view, Black Beauty&#39;s own
story takes you into the mind and heart of a sensitive animal
searching for love and understanding.",en,Animal welfare
45881,45881,0866119566,Oliver Twist (Great Illustrated Classics),Charles Dickens,1989.0,Playmore Inc. Publishers,http://images.amazon.com/images/P/0866119566.01.MZZZZZZZ.jpg,"Nine-year-old orphaned Oliver Twist escapes a workhouse and travels to
London to seek a better life. An Orphan, Lost and Found! Oliver Twist
is a poor orphan boy cruelly treated in the public workhouse.",en,Criminals
45886,45886,0870441663,The wild ponies of Assateague Island (Books for young explorers),Donna K Grosvenor,1975.0,National Geographic Society,http://images.amazon.com/images/P/0870441663.01.MZZZZZZZ.jpg,9,9,9
45888,45888,1561561428,Frankenstein (Illustrated Classics Series),Mary Wollstonecraft Shelley,1992.0,Kidsbooks.Com,http://images.amazon.com/images/P/1561561428.01.MZZZZZZZ.jpg,9,9,9
45894,45894,0553210092,The Scarlet Letter,NATHANIEL HAWTHORNE,1965.0,Bantam,http://images.amazon.com/images/P/0553210092.01.MZZZZZZZ.jpg,"Hester Prynne, a young woman in seventeenth century Massachusetts, is
condemned by Puritan law to wear a scarlet &quot;A&quot; as the symbol
of the sin she committed.",en,Adulteresses
45986,45986,0553258524,Dragonsong (Harper Hall Trilogy),Anne McCaffrey,1977.0,Bantam,http://images.amazon.com/images/P/0553258524.01.MZZZZZZZ.jpg,9,9,9
46017,46017,0688163726,The Watch House,Robert Westall,1998.0,HarperTrophy,http://images.amazon.com/images/P/0688163726.01.MZZZZZZZ.jpg,"When Anne visits the long-neglected lighthouse, she is only searching
for a way to pass the time during a long summer holiday.",en,Juvenile Fiction
46018,46018,1569471096,Was It Something I Said?,Valerie Block,1998.0,Soho Press,http://images.amazon.com/images/P/1569471096.01.MZZZZZZZ.jpg,"Tells the story of a romance that begins with an absurd meeting
between Barry, a food product manager who hasn&#39;t had a date in a
year, and Justine, an ambitious lawyer at a hotshot New York mergers
and acquisitions firm",en,Fiction
46022,46022,0316168815,The Lovely Bones,Alice Sebold,2004.0,Back Bay Books,http://images.amazon.com/images/P/0316168815.01.MZZZZZZZ.jpg,"The spirit of fourteen-year-old Susie Salmon describes her murder, her
surprise at her new home in heaven, and her witness to her
family&#39;s grief, efforts to find the killer, and attempts to come
to terms with what has happened.",en,Fiction
46115,46115,014023828X,The Tortilla Curtain,T. Coraghessan Boyle,1996.0,Penguin Books,http://images.amazon.com/images/P/014023828X.01.MZZZZZZZ.jpg,9,9,9
46155,46155,0316314927,Sarah Conley,Ellen Gilchrist,1998.0,Back Bay Books,http://images.amazon.com/images/P/0316314927.01.MZZZZZZZ.jpg,"A New York City magazine editor and novelist returns home to the South
when her closest childhood friend falls ill--and finds herself forced
to choose between pursuing her career and rekindling her relationship
with the man she has long ...",en,Fiction
46158,46158,0345424719,A Widow for One Year,JOHN IRVING,1999.0,Ballantine Books,http://images.amazon.com/images/P/0345424719.01.MZZZZZZZ.jpg,"Chronicles the life of a complex, abrasive woman born in the shadow of
her siblings&#39; deaths and her parents&#39; adultery, who only finds
love after motherhood and widowhood",en,Fiction
46303,46303,0375414746,The Clearing,TIM GAUTREAUX,2003.0,Knopf,http://images.amazon.com/images/P/0375414746.01.MZZZZZZZ.jpg,9,9,9
46312,46312,0375726403,Empire Falls,Richard Russo,2002.0,Vintage Books USA,http://images.amazon.com/images/P/0375726403.01.MZZZZZZZ.jpg,"Whiting, the heir to a faded logging and textile legacy, in this
evocative novel by the author of Nobody&#39;s Fool. Reader&#39;s Guide
available. Reprint. 150,000 first printing.",en,Fiction
46633,46633,0385503857,Oryx and Crake,Margaret Atwood,2003.0,Nan A. Talese,http://images.amazon.com/images/P/0385503857.01.MZZZZZZZ.jpg,9,9,9
46721,46721,0425156842,Sophie's World: A Novel About the History of Philosophy (Berkeley Signature Edition),Jostein Gaarder,1997.0,Berkley Publishing Group,http://images.amazon.com/images/P/0425156842.01.MZZZZZZZ.jpg,"A novel about the history of philosophy chronicles the story of a
teenaged girl who discovers a mysterious letter in her mailbox and
embarks on a journey of philosophical discovery, taking her from
Socrates to Sartre and beyond. Reprint.",en,Fiction
46750,46750,0440226104,Black and Blue,ANNA QUINDLEN,1999.0,Dell,http://images.amazon.com/images/P/0440226104.01.MZZZZZZZ.jpg,9,9,9
47013,47013,0553802488,The Face,DEAN KOONTZ,2003.0,Bantam,http://images.amazon.com/images/P/0553802488.01.MZZZZZZZ.jpg,9,9,9
47072,47072,0767903579,Falling Leaves: The True Story of an Unwanted Chinese Daughter,Adeline Yen Mah,1999.0,Broadway Books,http://images.amazon.com/images/P/0767903579.01.MZZZZZZZ.jpg,"The daughter of a wealthy Hong Kong businessman describes her very
difficult childhood and the psychological abuse she suffered at the
hands of her stepmother",en,Biography & Autobiography
47133,47133,0805063897,Nickel and Dimed: On (Not) Getting By in America,Barbara Ehrenreich,2002.0,Owl Books,http://images.amazon.com/images/P/0805063897.01.MZZZZZZZ.jpg,"The sharp social critic and author of Blood Rites looks underneath the
illusion of American prosperity at poverty and hopelessness in
America. Reprint. 100,000 first printing.",en,Business & Economics
47400,47400,0679777431,"The Game of Kings (Lymond Chronicles, 1)",DOROTHY DUNNETT,1997.0,Vintage,http://images.amazon.com/images/P/0679777431.01.MZZZZZZZ.jpg,9,9,9
47419,47419,0553285343,"RUSSIA HOUSE, THE",JOHN LE CARRE,1990.0,Bantam,http://images.amazon.com/images/P/0553285343.01.MZZZZZZZ.jpg,9,9,9
47477,47477,0486285529,Solv-A-Crime Puzzles (Dover Game and Puzzle Activity Books),A. C. Gordon,1995.0,Dover Publications,http://images.amazon.com/images/P/0486285529.01.MZZZZZZZ.jpg,"Challenges the reader to solve forty-seven crimes, and provides
solutions",en,Games
